player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Javonte Green,Bulls,86.38,35.48,67.44,0.3,0.23,19.9,0.7,2.7,30
Coby White,Bulls,73.05,36.88,87.93,0.57,0.34,27.0,2.7,2.8,65
Caleb Martin,Heat,78.71,36.32,80.73,0.53,0.38,33.5,1.7,4.9,64
Andre Drummond,Bulls,90.84,0.0,55.56,0.37,0.36,30.4,0.5,6.5,59
Dewayne Dedmon,"76ers, Heat",85.19,31.43,63.64,0.21,0.47,23.1,0.6,3.6,34
Max Strus,Heat,69.36,35.2,86.08,0.54,0.31,30.8,2.2,3.2,71
Goran Dragic,"Bucks, Bulls",72.05,34.78,69.77,0.5,0.26,19.3,2.6,1.4,54
Duncan Robinson,Heat,69.23,31.84,90.62,0.35,0.14,19.4,1.2,1.8,37
Gabe Vincent,Heat,71.05,31.61,87.32,0.83,0.3,27.5,2.5,2.2,60
Norman Powell,Clippers,72.21,38.78,81.1,1.02,0.68,37.6,1.8,2.9,56
Reggie Jackson,"Clippers, Nuggets",70.59,32.85,90.91,0.98,0.23,29.1,3.5,2.2,65
Marcus Morris Sr.,Clippers,71.82,35.64,76.47,0.44,0.21,31.2,1.8,3.9,61
Paul George,Clippers,72.47,36.91,86.45,1.87,0.68,58.6,5.1,6.2,53
Ivica Zubac,Clippers,91.01,0.0,69.74,0.76,0.55,50.7,1.1,10.1,71
John Wall,Clippers,72.81,31.73,67.31,1.72,0.91,34.8,5.3,2.8,32
Nicolas Batum,Clippers,79.88,39.1,68.89,0.36,0.07,23.8,1.6,3.8,73
Robert Covington,Clippers,78.67,37.4,72.22,0.36,0.2,21.1,1.0,3.4,45
Luke Kennard,"Clippers, Grizzlies",76.87,50.0,94.12,0.46,0.2,24.5,1.4,2.7,54
Damian Jones,"Jazz, Lakers",91.83,58.82,64.71,0.15,0.21,17.7,0.4,3.1,33
